                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                  2.698,                 2.1809,                      0,                0.82288,                 0.6394,                0.74611,                0.51316,                 2.4276,                 1.8933,                      0,               0.006337,               0.006337,               0.006337
                     39,                 2.6943,                  2.172,                      0,                0.82244,                0.64113,                0.74696,                0.51427,                 2.4235,                 1.8856,                      0,               0.006238,               0.006238,               0.006238
                     40,                 2.6939,                 2.1652,                      0,                0.82534,                0.64118,                0.74824,                0.51549,                 2.4195,                 1.8791,                      0,               0.006139,               0.006139,               0.006139
                     41,                 2.6871,                 2.1613,                      0,                0.82882,                0.64184,                0.74945,                0.51689,                 2.4141,                 1.8736,                      0,                0.00604,                0.00604,                0.00604
                     42,                 2.6895,                 2.1655,                      0,                0.82748,                0.64419,                0.75029,                0.51772,                 2.4106,                 1.8677,                      0,               0.005941,               0.005941,               0.005941
                     43,                 2.6801,                 2.1584,                      0,                0.82625,                0.64754,                0.75159,                 0.5188,                 2.4063,                 1.8632,                      0,               0.005842,               0.005842,               0.005842
                     44,                   2.68,                 2.1497,                      0,                0.82914,                0.64731,                0.75291,                0.51987,                 2.4041,                 1.8574,                      0,               0.005743,               0.005743,               0.005743
                     45,                 2.6769,                 2.1503,                      0,                0.83086,                0.64823,                0.75408,                0.52086,                 2.4011,                 1.8537,                      0,               0.005644,               0.005644,               0.005644
                     46,                 2.6634,                 2.1394,                      0,                0.83122,                 0.6489,                0.75491,                0.52169,                 2.3983,                 1.8492,                      0,               0.005545,               0.005545,               0.005545
                     47,                  2.666,                 2.1393,                      0,                0.83334,                0.64913,                  0.756,                0.52267,                 2.3943,                 1.8458,                      0,               0.005446,               0.005446,               0.005446
                     48,                 2.6562,                 2.1304,                      0,                0.83884,                0.64788,                0.75709,                0.52353,                 2.3915,                 1.8414,                      0,               0.005347,               0.005347,               0.005347
                     49,                 2.6539,                 2.1305,                      0,                0.83913,                0.64808,                0.75744,                0.52435,                 2.3879,                 1.8378,                      0,               0.005248,               0.005248,               0.005248
                     50,                  2.649,                 2.1147,                      0,                0.83667,                0.65054,                0.75846,                0.52527,                 2.3867,                  1.833,                      0,               0.005149,               0.005149,               0.005149
                     51,                  2.649,                 2.1203,                      0,                0.83436,                0.65329,                0.75904,                0.52588,                 2.3847,                 1.8285,                      0,                0.00505,                0.00505,                0.00505
                     52,                 2.6486,                 2.1158,                      0,                0.83685,                0.65274,                0.75986,                0.52643,                 2.3806,                 1.8257,                      0,               0.004951,               0.004951,               0.004951
                     53,                 2.6377,                 2.1091,                      0,                0.83575,                0.65423,                0.76045,                0.52684,                 2.3766,                 1.8232,                      0,               0.004852,               0.004852,               0.004852
                     54,                 2.6318,                  2.101,                      0,                0.83705,                0.65327,                0.76077,                0.52693,                 2.3747,                 1.8195,                      0,               0.004753,               0.004753,               0.004753
                     55,                 2.6313,                 2.0987,                      0,                0.83656,                0.65382,                0.76096,                0.52738,                 2.3708,                  1.817,                      0,               0.004654,               0.004654,               0.004654
                     56,                 2.6283,                 2.0964,                      0,                 0.8355,                0.65594,                0.76137,                0.52806,                 2.3693,                 1.8123,                      0,               0.004555,               0.004555,               0.004555
                     57,                 2.6181,                 2.0835,                      0,                0.83539,                0.65729,                0.76215,                0.52914,                 2.3671,                 1.8082,                      0,               0.004456,               0.004456,               0.004456
                     58,                 2.6155,                 2.0867,                      0,                0.83565,                0.65742,                0.76273,                0.52999,                 2.3642,                 1.8052,                      0,               0.004357,               0.004357,               0.004357
                     59,                 2.6084,                  2.085,                      0,                0.83407,                0.65822,                0.76302,                0.53062,                 2.3615,                 1.8019,                      0,               0.004258,               0.004258,               0.004258
                     60,                 2.6087,                 2.0779,                      0,                0.83263,                 0.6584,                0.76239,                 0.5307,                  2.359,                 1.7993,                      0,               0.004159,               0.004159,               0.004159
                     61,                 2.6033,                 2.0694,                      0,                0.82993,                0.65844,                0.76131,                0.53013,                 2.3568,                 1.7988,                      0,                0.00406,                0.00406,                0.00406
                     62,                 2.5992,                 2.0674,                      0,                0.83228,                0.65806,                0.76117,                0.53007,                 2.3537,                 1.7951,                      0,               0.003961,               0.003961,               0.003961
                     63,                 2.5981,                 2.0573,                      0,                0.83259,                0.66002,                0.76229,                0.53077,                 2.3527,                  1.789,                      0,               0.003862,               0.003862,               0.003862
                     64,                 2.5886,                 2.0511,                      0,                0.83793,                0.66015,                0.76582,                0.53296,                 2.3506,                 1.7823,                      0,               0.003763,               0.003763,               0.003763
                     65,                 2.5869,                 2.0571,                      0,                0.84013,                0.66077,                 0.7673,                0.53414,                 2.3477,                 1.7783,                      0,               0.003664,               0.003664,               0.003664
                     66,                 2.5805,                 2.0506,                      0,                0.84316,                0.66002,                  0.768,                0.53506,                 2.3457,                 1.7746,                      0,               0.003565,               0.003565,               0.003565
